what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448537473165
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1448537478028
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1448537481643
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448537561287
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448537663724
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1448537723422
executed,command,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.edit.text.open.editor",1448537723424
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448537750252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448537776892
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1448537786347
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1448537787797
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.gotoLastEditPosition",1448537788944
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1448537790309
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448537854251
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1448537857595
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448537857683
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448537862090
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448537870906
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1448537878111
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1448537973090
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1448537974999
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1448537981534
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1448537983861
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1448537984891
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448537993443
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448538076774
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1448538086353
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448538101144
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1448538113296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448538113350
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448538118172
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448538170986
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1448538171780
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1448538174580
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1448538180898
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1448538188501
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448538190977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448538239486
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1448538246441
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1448538271958
